activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic,favourable
[],艺人: 费玉清,0,1,演唱会,852,北京,[],艺人: 费玉清,1_1_177774,1777,0,0,0,0,2019费玉清告别演唱会-北京站,2019费玉清告别演唱会-北京站,380.0,380-1980,1980.0,[],177774,['套票'],预售,,2019.08.10  18:30,8,9,流行,有时间的话，陪父母来听一场小哥的演唱会。,凯迪拉克中心,北京,682,https://pimg.dmcdn.cn/perform/project/1777/177774_n.jpg?_t=1559102175196,
[],艺人：汪苏泷,0,1,演唱会,852,北京,[],艺人：汪苏泷,1_1_595238926855,1657421972,0,1,0,0,汪苏泷2019“银河漫游”巡回演唱会—北京站,汪苏泷2019“银河漫游”巡回演唱会—北京站,380.0,380-1680,1680.0,[],595238926855,[],售票中,,2019.07.27 周六 19:00,3,9,流行,,北京工人体育馆,北京,2,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01G4fZjZ2GdSApjaYnk_!!0-item_pic.jpg,
[],艺人：仓木麻衣,0,1,演唱会,852,北京,[],艺人：仓木麻衣,1_1_594455637701,1649589081,0,1,0,0,2019仓木麻衣“20周年巡演计划”巡回演唱会-北京站,2019仓木麻衣“20周年巡演计划”巡回演唱会-北京站,388.0,388-1288,1288.0,[],594455637701,[],售票中,,2019.07.19 周五 19:30,3,13,其他,"纯粹歌者，国民""动漫""歌姬",北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN016ZeIfj2GdSAfwsyRC_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_595864292361,1663675627,0,1,0,0,NEVERLAND · Mikelangelo 2019小米演唱会－北京站,NEVERLAND · Mikelangelo 2019小米演唱会－北京站,580.0,580-880,880.0,[],595864292361,[],售票中,,2019.07.18-07.19,3,13,其他,,糖果TANGO-雍和宫店三层,北京,27,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01jr2jjS2GdSB6Dsj1Z_!!0-item_pic.jpg,
[],艺人：大塚爱,0,1,演唱会,852,北京,[],艺人：大塚爱,1_1_595604921669,1661081920,0,1,0,1,【万有音乐系】大塚爱 2019 弹唱巡回演唱會《AIO PIANO at ASIA vol.2》-北京站,【万有音乐系】大塚爱 2019 弹唱巡回演唱會《AIO PIANO at ASIA vol.2》-北京站,380.0,380-880,880.0,[],595604921669,[],售票中,,2019.07.25 周四 19:30,3,9,流行,,世纪剧院,北京,107,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN014xkoQQ2GdSAveJXFx_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],VGL暴雪游戏音乐会期待你的到来,1_1_595202596925,1657058673,0,1,0,1,VGL中国巡演十周年！2019 VIDEO GAMES LIVE 暴雪游戏音乐会,VGL中国巡演十周年！2019 VIDEO GAMES LIVE 暴雪游戏音乐会,100.0,100-900,900.0,[],595202596925,[],售票中,,2019.09.15 周日,3,13,其他,VGL暴雪游戏音乐会期待你的到来,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01150L6h2GdSAsZRHoJ_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_596072200967,1665754713,0,1,0,0,米唐极致电音派对,米唐极致电音派对,80.0,80-100,100.0,[],596072200967,[],售票中,,2019.06.23 周日 20:00,3,13,其他,,MAO Livehouse 北京,北京,92428,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01lsQ9yy2GdSB9iXVe9_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_595933929332,1664371997,0,1,0,1,VGL中国巡演十周年！2019 VIDEO GAMES LIVE 魔兽世界音乐会,VGL中国巡演十周年！2019 VIDEO GAMES LIVE 魔兽世界音乐会,100.0,100-900,900.0,[],595933929332,[],售票中,,2019.09.14 周六 19:30,3,13,其他,,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01XNcvNk2GdSAu4Cngc_!!0-item_pic.jpg,
"[{'id': 72085, 'name': '套票优惠'}, {'id': 70715, 'name': '套票优惠'}, {'id': 72087, 'name': '优惠'}]",,0,1,演唱会,852,北京,[],,1_1_596749727444,1672529978,0,1,0,1,华艺星空·QUEEN REAL TRIBUTE皇后致敬乐队北京演唱会《波西米亚狂想曲》,华艺星空·QUEEN REAL TRIBUTE皇后致敬乐队北京演唱会《波西米亚狂想曲》,180.0,180-1280,1280.0,[],596749727444,[],售票中,,2019.09.07 周六 19:30,3,10,摇滚,,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN011bF9iA2GdSB8Krg3h_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],为爱与青春写下最美好的回忆。,1_1_595230258927,1657335293,0,1,0,0,向男孩地带说再见 告别演唱会-北京站,向男孩地带说再见 告别演唱会-北京站,480.0,480-1680,1680.0,[],595230258927,[],售票中,,2019.06.20 周四 20:00,3,13,其他,为爱与青春写下最美好的回忆。,奥体中心体育馆,北京,409,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01yEVA3G2GdSAnCGJu5_!!0-item_pic.jpg,
